quadgram	frequency
promote their access to	2
with similar problems in	2
are still to be	2
component would provide equipment	2
are avoided and or	2
prior to actual project	2
development of inclusive growth	2
prospera beneficiaries and their	2
to the adverse effects	2
and far short of	2
policy and capacity development	2
private sector seed companies	2
the immediate needs to	2
the npco will submit	2
have improved access to	2
technologies and good agricultural	2
yes the state has	2
an initial advance whose	2
cohesion in the north	2
of social services and	2
the tune of usd	2
and mitigate any potential	2
with full participation of	2
bank png agriculture commercialization	2
procedures for the award	2
tedious and limits the	2
alignment documents are ifad	2
agricultural and food exports	2
program technical board will	2
programme timeframe task name	2
beneficiary satisfaction and beneficiary	2
director of rural economy	2
portfolio does not include	2
in kenyans continue to	2
dam safety measures designed	2
components and related estimated	2
disbursement rate of the	2
value addition and industrialization	2
quarantine or holding grounds	2
technologies and the development	2
signed by all staff	2
by producers and improve	2
and market access roads	2
issue of climate change	2
and trade facilitation as	2
date of signing of	2
subprojects are considered for	2
build resilience in agriculture	2
bank of the lao	2
sustainably contribute to economic	2
the haitian agricultural sector	2
environmental practices such as	2
to result in positive	2
majority of whom are	2
from the open market	2
in other areas of	2
quality and high volume	2
chains and mapping of	2
are committed to the	2
end of the reporting	2
livestock productivity and commercialization	2
institutions beneficiaries total am	2
the state to the	2
of project staff in	2
the increase of the	2
resources to climate change	2
ifad and the national	2
human resources of the	2
resource management into development	2
or any activities that	2
the smallest in the	2
competitions will be organized	2
resilience for food and	2
out using bps comprising	2
make available to lged	2
marketing channels and logistics	2
means the community participation	2
through the transformation of	2
is the main contributor	2
for the rehabilitation creation	2
national strategies and plans	2
of managing the grain	2
on the next generation	2
of watershed and groundwater	2
plan vivo system and	2
driven by a growing	2
sector in a leadership	2
provide the ministry of	2
rural economies through the	2
and evaluation reports risks	2
to provide matching grants	2
the key potentially negative	2
rate in addition to	2
the borrower may grant	2
and financial contingencies total	2
charter national priority program	2
conditions for marketing of	2
animal health in the	2
the level of professional	2
institutional strengthening activities and	2
to the revival of	2
of farmers and processors	2
improving the economic environment	2
dam safety panel to	2
estimates indicate that about	2
the use of outputs	2
given the high level	2
midterm review at the	2
grant of usd million	2
many of these projects	2
world bank shows that	2
agricultural support services and	2
summary project costs by	2
meteorological information to prevent	2
the irrigation infrastructure needed	2
growing water and land	2
are represented in the	2
would support all pcu	2
a coordinated way with	2
transferring the loan proceeds	2
is the improvement of	2
promoting conservation agriculture and	2
be awarded in accordance	2
including integrated pest management	2
on ifad accounts and	2
the strategy to address	2
the pim and the	2
on the export of	2
members of kuu groups	2
for disaster risk management	2
progress made over the	2
small farmers and larger	2
coordination with other governmental	2
in northern and eastern	2
bank for economic integration	2
and improve the effectiveness	2
the environmental hot spots	2
using up to date	2
that at least four	2
and transfer system in	2
status and the difficulties	2
been developed for irrigation	2
the rural sector is	2
of which percent of	2
in percent increase in	2
to support the operationalization	2
with the new financing	2
and of the total	2
are likely to generate	2
creation in rural areas	2
development of processing and	2
ap integrated irrigation agriculture	2
are addressed in the	2
tariff policy based on	2
hundred and thirteen thousand	2
terms agreed upon in	2
social adverse impacts associated	2
planning process will be	2
will improve the country	2
extension and outreach services	2
in incomes and reduced	2
tables in brussels in	2
by the following indicator	2
capacity building for food	2
policy framework that safeguards	2
to focus on the	2
boreholes for water provision	2
and high enough to	2
websites of the ministries	2
percentage of the rural	2
by donors is presented	2
which will be communicated	2
have less time to	2
project is founded on	2
installation of business advisers	2
interventions in the north	2
importation of cheaper milk	2
transformation in the long	2
will reflect the need	2
fallow or abandoned agricultural	2
business management to ensure	2
poorest and most excluded	2
and general elections in	2
described above as appropriate	2
and coordination with other	2
value chains concerned and	2
reviewed consulted upon and	2
the household income and	2
the field as needed	2
finance construction and equipment	2
mainstay tuna fishing and	2
natural resources by the	2
of quality at entry	2
policy is triggered by	2
for of the area	2
information and financial services	2
in areas where dairy	2
effective electricity provision and	2
information system including a	2
likely to be small	2
operations and maintenance of	2
the same period in	2
as for the control	2
project aims to contribute	2
been carried out at	2
natural and climate phenomena	2
indicators set out in	2
eligibility rules specific to	2
generate sufficient income to	2
of the seats in	2
and control of water	2
pillar aims at promoting	2
ground role in delivering	2
ua million and an	2
and measures planned to	2
of the main issues	2
implementation of measures related	2
two investment loan instruments	2
percent of children under	2
are consistent with esmf	2
unit responsible for coordination	2
spaces for consultation and	2
master plan for southern	2
better position to bear	2
by an external auditor	2
the yields of irrigated	2
growth and structural transformation	2
as the greater serengeti	2
samriddhi will target a	2
national process of dialogue	2
and monitoring of safeguard	2
on the legislative and	2
number of bank account	2
equality as prerequisite for	2
information systems to support	2
annual precipitation is projected	2
will be empowered to	2
a result of ineffective	2
the youth and gender	2
for payment of works	2
bank group will ensure	2
the commercial agriculture sector	2
the condition of approximately	2
actual implementation of the	2
design counters this risk	2
index will be used	2
agricultural value chains targeted	2
will be reinforced with	2
emphasis on results measurement	2
in this area would	2
and control systems related	2
capacities to adapt to	2
and investments to be	2
irrigation total project cost	2
irrigation infrastructure and activities	2
and quality of cocoa	2
the preparation of esmf	2
and strategy on climate	2
consultations with the various	2
conducted by the internal	2
developed on the basis	2
additionally be spread within	2
extensive consultations were held	2
be used in disbursing	2
services under the project	2
to broaden perspective and	2
small and medium size	2
the project are expected	2
ministry of fisheries will	2
works would be also	2
defined in the business	2
the moroccan energy efficiency	2
such as crop production	2
services provided by pos	2
will help women to	2
of paraguay will be	2
activities as part of	2
share of the national	2
through the secretariat general	2
have major positive impacts	2
intention is to bring	2
and on the terms	2
will allow it to	2
based on a recognition	2
medium term o u	2
respective dates on which	2
or resettlement of paps	2
economic and natural assets	2
impacts to critical habitats	2
us m regional ida	2
reliable income to allied	2
unavailability of medium to	2
phases i and ii	2
members will be a	2
be prepared for all	2
farmland in the project	2
envisages that the country	2
portion of its funds	2
food security for poor	2
of the piu to	2
of periodic progress reports	2
irrigation activities have also	2
seminars and round tables	2
rational use of chemical	2
to water for domestic	2
and increasing agricultural water	2
on land with modern	2
increased productivity will lessen	2
played by project implementation	2
state total amount amount	2
the value chain selected	2
efficiency and to generate	2
well as a table	2
average yields in the	2
central and local levels	2
conducted in the department	2
tends to be small	2
to identify the main	2
expenditure review and the	2
world bank chad skills	2
the presence of indigenous	2
would facilitate access to	2
by providing additional staff	2
practices and natural resource	2
over the project implementation	2
facilitate project management after	2
implementation unit to be	2
risks that the project	2
to manage and receive	2
na original closing date	2
that public investment efficiency	2
line information at regional	2
beneficiaries in select value	2
federal government of somalia	2
improve the availability of	2
the provision of basic	2
farm school to train	2
below the poverty threshold	2
hectares of rainfed land	2
the project is improved	2
smallholder and subsistence farming	2
and youth agriculture and	2
investment in commercial agriculture	2
project launch technical coordination	2
carried out to determine	2
women and men that	2
and food safety requirements	2
needs assessment and a	2
unavailability of agricultural insurance	2
four thousand united states	2
for overall improvement of	2
spread to the project	2
finance construction or rehabilitation	2
of selected crop and	2
increase productivity and production	2
and animal drinking willows	2
in the world to	2
borrower ifad loan ifad	2
of agricultural and industrial	2
which was approved in	2
of sud and grande	2
has a low probability	2
strengthen generation and delivery	2
of appropriate construction materials	2
farmers organizations or other	2
prepared in angola and	2
governorate by implementing two	2
of the net economic	2
space will help relax	2
the paps by the	2
be similar to that	2
cost increase of per	2
on support for agricultural	2
number of shops operational	2
financial management system is	2
to facilitate the installation	2
and or improvement of	2
provide strong and sustainable	2
rate set by ifad	2
comprises an ifad loan	2
exports to the united	2
up to head of	2
agency or the relevant	2
the proposed project to	2
approval signature of grant	2
guidelines and in accordance	2
and protection directorate and	2
their access to financing	2
will adopt a customized	2
affected natural habitats are	2
us million terms of	2
prior to disbursement to	2
contamination of soil and	2
transfer of agricultural inputs	2
will explore diverse types	2
development financing and operational	2
smart agricultural and agribusiness	2
promotion of initiatives in	2
droughts that hit the	2
it is estimated at	2
important contributors to the	2
of infrastructure for improved	2
will allow the development	2
lack of public services	2
amplified in the future	2
has made progress in	2
the programme is intended	2
officers in the agricultural	2
the new ministry of	2
the agricultural technology management	2
monitoring missions will also	2
indicators to be monitored	2
strategic orientation and continental	2
loan regulations of adb	2
project will take place	2
and to strengthen access	2
reflect their economic values	2
on how to submit	2
areas will be identified	2
world bank odisha integrated	2
a good example is	2
livelihoods through increased access	2
rural sector is the	2
the interests of poor	2
the goal of agricultural	2
promotion of community agroforestry	2
smaller domestic longliners also	2
and training of management	2
area of about ha	2
overall poverty has significantly	2
bank responding to covid	2
innovations in its model	2
framework for operations financed	2
the balance eight districts	2
of an early warning	2
support increased adoption of	2
continuous internal monitoring of	2
only of the population	2
coverage of veterinary services	2
among domestic stakeholders and	2
of the organization of	2
system for the safe	2
the impacts will be	2
dated january between the	2
making body composed of	2
extend social protection to	2
who will be selected	2
the largest country in	2
and registration policies that	2
use of biological or	2
has been included to	2
a detailed citizen engagement	2
likely to be under	2
cashew production areas to	2
will also have support	2
with an agricultural value	2
range of sectors and	2
maize and dairy beef	2
is an open group	2
mainly involve the reimbursement	2
service providers for implementation	2
income is derived from	2
required to implement the	2
the only exception will	2
while the project activities	2
among the major causes	2
approaches will be used	2
rdd or another structure	2
that will be targeted	2
to satisfy the design	2
of tenure of land	2
composed of senior representatives	2
to identify key challenges	2
an institutional and organizational	2
state or local government	2
for selected agricultural value	2
natural resources and biodiversity	2
agriculture enhancing inclusive growth	2
and sugarcane as they	2
government will mainly finance	2
of incremental operating costs	2
program agreement of even	2
investments in the development	2
of value chain stakeholders	2
develop the value chains	2
selection criteria to be	2
benin particularly in the	2
sustainable water management systems	2
the main cash crop	2
at the right time	2
additional income generated will	2
extent of environmental and	2
gaza and maputo provinces	2
to the remote location	2
of funds under the	2
the treasury mdb awards	2
of the economic importance	2
approaches that could be	2
history of severe drought	2
out of with a	2
deelcpn with respect to	2
potential for import substitution	2
livelihood opportunities of conflict	2
of this loan for	2
and fully operational social	2
to the intergovernmental panel	2
framework of the country	2
justified given the government	2
programme cost is estimated	2
a percent share from	2
active advocacy role on	2
the outsourcing of public	2
a development programme for	2
address the potential issues	2
recovery of the agriculture	2
financial audits of the	2
publication by the ministry	2
in the targeted agriculture	2
table convened in brussels	2
of the majority of	2
depend on the ability	2
higher living standards and	2
subcomponent would support the	2
agricultural sector remains a	2
and to provide them	2
the grants were awarded	2
unit cost and revenues	2
national government counterpart contribution	2
terms of rural development	2
which are critically important	2
in a loan agreement	2
a social assessment to	2
and improve their capacity	2
strong association between agriculture	2
bank confirming that the	2
fcp fr fi cp	2
synergy with existing afdb	2
actors within value chain	2
the country policy and	2
of access to livelihoods	2
raise awareness of the	2
ia l u s	2
participation in the overall	2
plans with other private	2
arbitral tribunal shall determine	2
is headed by a	2
after the borrower must	2
the case of agriculture	2
projected to increase across	2
this policy may may	2
and maintain the public	2
is reflected in the	2
maep works implementation and	2
and vegetable farming clusters	2
administrative and financial director	2
and the equipment to	2
will also work to	2
the maintenance of structures	2
the siting of collective	2
with support from its	2
south sudan has high	2
in form and in	2
sector contribution is estimated	2
emerging as a critical	2
programs such as taat	2
have greatly increased since	2
were no resettlement impacts	2
with about percent of	2
the bank has successfully	2
techniques and access to	2
place in eastern and	2
be triggered since the	2
and contribution by beneficiaries	2
marketing of green tea	2
to implement the program	2
operating regulations have been	2
of its economic development	2
prone to climate change	2
with funds from the	2
and a return on	2
to measure performance and	2
their own businesses in	2
critical to measuring results	2
loan grant heifer banks	2
also a lack of	2
days of the effective	2
will need to have	2
as confirmed and approved	2
project will seek better	2
out the additional benefits	2
mobilization of land parcels	2
recipient total amount amount	2
will contribute to project	2
and employs nearly of	2
is based on presidential	2
a greener agricultural future	2
and bds for sites	2
priority orientations of the	2
be envisaged through the	2
be eligible for project	2
builds on the progress	2
with standards and procedures	2
by prioritizing local labor	2
did not take into	2
technical assistance and improved	2
signature of a framework	2
among the bottom percent	2
capacity building for landscape	2
climate smart agriculture through	2
needs stem from the	2
made noteworthy gains in	2
plan was prepared and	2
a framework agreement with	2
to ensure efficient flow	2
fund to facilitate access	2
electricity and water supply	2
the borrower prepared an	2
will include the provision	2
to physical and institutional	2
because of the lack	2
or limiting access to	2
study of value chains	2
central bank has requested	2
inclusive but not limited	2
would support development of	2
part of this approach	2
objectives of inclusive and	2
the annual progress report	2
that the expenditures incurred	2
the programme over the	2
of the bank for	2
actors of the project	2
october project approval december	2
gender and social development	2
needed to provide the	2
key to addressing the	2
and of the general	2
gda to properly manage	2
proposed project responds to	2
develop human resources by	2
which can contribute to	2
to extend a loan	2
the atolls away from	2
and monitoring of investments	2
which they have been	2
to help strengthen the	2
council of agricultural research	2
benefits and implementation delays	2
of activities under this	2
and consultancy services will	2
reforms have been implemented	2
allocated to the category	2
held with the senior	2
be completed within the	2
building and project management	2
pillar aimed at strengthening	2
interventions on the ground	2
increase per year subsequently	2
framework of the new	2
specific to the new	2
and ongoing operations in	2
contribute to improving food	2
lack of progress in	2
the african savannah initiative	2
clinics will also ensure	2
strategic environmental social assessment	2
livestock technology delivery compact	2
of the sustainable use	2
the country faces a	2
building at the local	2
structural development of sustainable	2
information tsf grant currency	2
direct employment for skilled	2
in luhansk oblast in	2
with one or two	2
documented and shared within	2
typical of category b	2
performance indicators are proposed	2
a higher fixed spread	2
monitoring and financial information	2
out with the participation	2
feed africa takes a	2
management of similar interventions	2
for international development of	2
of seed producer and	2
and have been working	2
through a prioritization exercise	2
tables and in radio	2
of the project coordinating	2
project components are described	2
to proceed with appraisal	2
of the program coordinating	2
to be largely beneficial	2
asset management and maintenance	2
the production of animal	2
esmf and disclosed accordingly	2
officer assisted by an	2
the objective of establishing	2
national environmental protection agency	2
agricultural financing remains a	2
key results the achievement	2
and water conservation techniques	2
extension services to support	2
voluntary land donation or	2
of all activities under	2
between the diversification of	2
ensure that budgetary and	2
support for the food	2
agricultural infrastructure development component	2
to markets for smallholders	2
comprehensive and integrated approach	2
with these partner structures	2
and free from any	2
foresees during this period	2
those reported by narei	2
project in the sahel	2
of the philippines in	2
facilities to be developed	2
further increase the coverage	2
primarily by the direct	2
management of the african	2
support for these structures	2
agreed by the fund	2
producers approach based on	2
poverty line fell from	2
and piloting the farm	2
and transparency in public	2
the loan currency and	2
social safeguards specialist nicholas	2
with applicable bank group	2
will not intervene in	2
conditions for the integration	2
of young people aged	2
the producers and processors	2
the productivity of agro	2
in the southern portion	2
specific areas of the	2
of the treasury single	2
of zambia to support	2
percentage points per capita	2
database of proposed project	2
of technologies that increase	2
for proposals for matching	2
both highly limited and	2
greater access to rural	2
yield per hectare for	2
the isds is finalized	2
missions involving the relevant	2
on the undisbursed amount	2
the main livelihood for	2
overall fm risk for	2
operate on a cost	2
dfi through the proposed	2
of conditional cash transfers	2
submission of a certified	2
improve access to skills	2
hydraulic structures constructed kw	2
project agreements of even	2
training courses will be	2
between their members and	2
group policies and guidelines	2
apply affirmative action in	2
expected to help decrease	2
strengthening of partnerships and	2
production of a variety	2
primary agriculture accounts for	2
and an important source	2
thereby ensure compliance with	2
proposed project focuses on	2
the existence of major	2
prior to the disbursement	2
for example to assess	2
in pillar supports the	2
along the dairy value	2
about various matters concerning	2
of which million will	2
the powers of the	2
of the key issues	2
with the two complementary	2
production is dominated by	2
all project components and	2
on the transparency international	2
rules and procedures of	2
sustained delivery and use	2
strategy and sustainability plan	2
activities are adequately protected	2
monitoring indicators at the	2
and professionalization of farmers	2
relevant directors from the	2
in a nation of	2
that maximize the impact	2
initial activities appraisal loan	2
social impacts that can	2
esmp and the risk	2
and agriculture organization and	2
country programme as an	2
of extension services will	2
poverty by the year	2
a formal request from	2
fasdep anchors on sub	2
to develop the capacity	2
finance the integrated agricultural	2
platform is established strengthened	2
equipment will be provided	2
taking advantage of investment	2
the national livestock development	2
with the pareto optimum	2
these will be regularly	2
compliance with proposed mitigation	2
outputs o u t	2
including the proposed operation	2
break the cycle of	2
increasing the production and	2
were identified during the	2
a national average of	2
financial sector stability and	2
of pesticides herbicides in	2
assessment confirmed that the	2
provisions in force were	2
mainstreaming of climate change	2
resilient and smart taats	2
of administration and maintenance	2
internet and mobile through	2
triggered since neither the	2
in project planning and	2
support to the implementation	2
through joint work and	2
from food grains towards	2
markets in the world	2
system for part of	2
poses a serious threat	2
reduce transaction costs and	2
to provide quality services	2
ethiopia resilient landscapes and	2
of the economy the	2
in malawi have been	2
project are derived from	2
project and no project	2
cotton and wheat to	2
downstream of the river	2
to the formulation of	2
agricultural sector and its	2
use of the scarce	2
capacity development for stakeholders	2
prepare quarterly and annual	2
and is fully in	2
by increased productivity in	2
smallholder farmers and producers	2
existing fisheries management systems	2
three countries that feel	2
remit of central and	2
cdcl shall ensure that	2
working in the agriculture	2
ifad ifad grant rcfis	2
physical contingencies ranged from	2
charcoal and plant wastes	2
of marine fisheries and	2
finance a project that	2
to mitigate the negative	2
food value chains and	2
projects will be developed	2
in achieving the project	2
new projects to operate	2
considered to be too	2
focus its operations on	2
works will include construction	2
and considered in the	2
impacts in the project	2
the project and help	2
capacity needs assessment of	2
a whole is innovative	2
of project interventions will	2
and communities in the	2
and developing a state	2
the decline in the	2
complemented by fruit tree	2
will it rely on	2
gvt adf adf loan	2
by donors include a	2
approach to water management	2
invest in the various	2
the national action programme	2
approved by the rvp	2
customs revenue losses in	2
positive economic and social	2
there is a risk	2
mitigate the risks inherent	2
of these are run	2
bank group is financing	2
poorest nations in south	2
line and per cent	2
sustainable development of natural	2
growing at an average	2
people affected by involuntary	2
will focus its operations	2
modernization of irrigated agriculture	2
addressing the issues of	2
eight priority intervention areas	2
deposited in a dedicated	2
coastal and inland areas	2
country strategy with paraguay	2
during implementation commitment charges	2
farming systems in selected	2
access tracks to improve	2
and lack of equipment	2
electricity and a more	2
distribution of seeds and	2
margin of preference in	2
targeted enhancing agricultural productivity	2
the legal requirements section	2
improvements in quality of	2
at each stage of	2
framework for public procurements	2
created in the sector	2
for food production and	2
to identify the way	2
access to seeds and	2
essentially in support of	2
will be minimized through	2
is underway and will	2
will take place throughout	2
the operation supports the	2
in charge of public	2
heritage site by unesco	2
its fiscal consolidation policy	2
technical assistance and strengthening	2
determination would be made	2
and wastewater from fruit	2
disposal and or processing	2
more equitable balance in	2
tariff for the poor	2
a special focus will	2
the oil price drop	2
new extension systems or	2
mainstreaming climate change adaptation	2
while maintaining a sustainable	2
in any disputed area	2
national agricultural labour force	2
reached with financial services	2
as an administrator of	2
will monitor and supervise	2
system on waemu guidelines	2
produce will be ensured	2
regulations of the recipient	2
security and emergency preparedness	2
to avoid or minimize	2
of storage facilities and	2
categories and related procurement	2
library will be accessible	2
it will address these	2
training and incremental operational	2
been factored into afdb	2
dam and irrigation infrastructure	2
given the nature and	2
the business skills of	2
benefits in monetary terms	2
benefiting from the infrastructure	2
ppp outfits to ensure	2
of income for percent	2
potentially lead to changes	2
are discussed and planned	2
as the reduction of	2
and constraints encountered during	2
chambers of agriculture and	2
close of the financial	2
of the entire road	2
does not have access	2
be reimbursed to the	2
research and extension institutions	2
capacity of its clients	2
harvest equipment provided to	2
smallholder dairy farmers in	2
of the following ministries	2
road assets to the	2
adaptation to the impacts	2
quality of financial services	2
for increased commercialization of	2
in agreement with government	2
include a variety of	2
water availability is expected	2
committee was established to	2
for ha giang province	2
are considered for financing	2
and environmental concerns for	2
key information published on	2
but the project will	2
a holistic approach that	2
the tariff for the	2
how these have been	2
in writing by such	2
projects in similar areas	2
agency agriculture investment project	2
aimu will be responsible	2
approval july project approval	2
a participatory and inter	2
this dpf series are	2
as a consulting firm	2
items of expenditure and	2
to reinforce regional dialogue	2
establishment of a functioning	2
between the cooperatives and	2
responsibility of the state	2
of the preparation process	2
dwangwa cane growers company	2
or through the development	2
interventions under components and	2
others will be ensured	2
contract with cnca of	2
by ps moaiwd which	2
percent of its agricultural	2
basis of complementarities with	2
applied to this project	2
and progress towards objectives	2
with total or partial	2
to upgrade their production	2
it will facilitate the	2
of the competitive recruitment	2
would be enhanced through	2
it would also be	2
contribution from the beneficiaries	2
above the poverty threshold	2
and contribute to a	2
difficulties in accessing financial	2
requirements substantially similar to	2
bank has requested the	2
and support the government	2
the use of participatory	2
and m arketing service	2
management system and the	2
value addition services supported	2
indicates a return of	2
local and export markets	2
secured resources such as	2
horticulture and red meat	2
at a later date	2
fishery sector in haiti	2
support in alignment with	2
grant financing gap farms	2
and livestock farming on	2
its support for agricultural	2
resources outside the pba	2
working under the supervision	2
and community level to	2
to the production sites	2
executing agency and shall	2
in the tomato subsector	2
work with financial institutions	2
smsa for implementation of	2
one or more maturities	2
arable land is currently	2
designed to concentrate agricultural	2
and market gardening value	2
out based on detailed	2
the financial plan and	2
of agriculture or tourism	2
appraisal guidelines for public	2
to use the land	2
to a regional average	2
achievement and the explanation	2
will be developed before	2
rainfed land practising extensive	2
host communities in select	2
resilience and commercialization of	2
programme costs are estimated	2
known during the preparation	2
not triggered in the	2
solutions implemented for at	2
yes although procurement of	2
agriculture and climate change	2
nregs ridf rkvy beneficiaries	2
executing agency has prepared	2
external shocks such as	2
principles of key regional	2
implementation on a large	2
that included a review	2
implementation the implementation arrangements	2
through specific labour during	2
field supervision missions to	2
local government engineering department	2
from the agricultural services	2
all control and audit	2
a total of districts	2
bringing together tfp and	2
effectiveness of animal health	2
taken into account when	2
the rural youth employment	2
of rural pastoral and	2
land area brought under	2
synergies in the implementation	2
that counterpart funds for	2
is the inability of	2
be limited in time	2
well as the expected	2
project will expand and	2
existing government structures and	2
establishment of management entity	2
create sustainable jobs and	2
directorate of agriculture will	2
environmental and social characteristics	2
agricultural diversification and competitiveness	2
procedures for the preparation	2
program activities would remain	2
break with the traditional	2
the need for stronger	2
national and zoba levels	2
likely to be underestimated	2
health and safety concerns	2
realistic projections were made	2
project will under component	2
continue to track and	2
viet nam in an	2
necessity in agricultural activities	2
loan asap grant ifad	2
implementation of activities described	2
activities it does not	2
entity of gcf in	2
to access to factors	2
conducted at the end	2
share this knowledge with	2
with an economic rate	2
to undertake intercropping and	2
latin america and one	2
an important engine of	2
financial reports of the	2
food security and safe	2
the country strategy for	2
with the fiscal deficit	2
the feed africa priority	2
expertise in terms of	2
approach and make value	2
and combating climate change	2
than the last quarter	2
sector and the civil	2
range of institutional service	2
applied to a panel	2
the sustainability of benefits	2
financing mechanisms in partnership	2
hydrologically connected dams is	2
will lay the basis	2
economic activities carried out	2
large portion of the	2
sector and the public	2
of female extension workers	2
growth of the sector	2
was supported by the	2
cent of targeted farmers	2
safe water supply and	2
periodic impact assessment and	2
expected years of schooling	2
addition to the provision	2
support to the service	2
ranking it out of	2
the green and inclusive	2
assessment of regional impacts	2
total project costs sudan	2
also operationalise the activities	2
ensuring smooth coordination of	2
agriculture center in region	2
the reduction of unemployment	2
communities at all levels	2
the agricultural market information	2
would be prepared during	2
the provision of market	2
through scaling up by	2
and strengthening business network	2
technical assistance once the	2
importance of building the	2
of these households are	2
of inputs as well	2
nature of possible civil	2
the sector will need	2
the provinces of kwilu	2
agripreneurs are unable to	2
confirmed and these have	2
projects to be implemented	2
natural resources lending instrument	2
will have a piu	2
the lessons learned will	2
measures set as disbursement	2
final rp for such	2
rational is anchored in	2
with a ranking of	2
of value addition through	2
and cooperation among key	2
director general and his	2
the ifad climate change	2
of recommendations to be	2
will be justified by	2
need to be prepared	2
the importance of addressing	2
poverty reduction targets by	2
water financing instrument borrower	2
markets and to climate	2
policy in the project	2
green growth principle of	2
most of them in	2
risks and impacts inherent	2
be deposited and from	2
cultivation practised in the	2
for storage and processing	2
basic public services and	2
crop supports to the	2
sent to each of	2
in the respective remdp	2
and irrigation total project	2
country has the highest	2
area is subject to	2
the drslp ii in	2
products by the continent	2
resilient and smart agricultural	2
compliant with the principles	2
forest dependent communities and	2
the parties thereunder shall	2
opelip will build on	2
this will include provision	2
was classified in category	2
of poverty and food	2
most agriculture in rwanda	2
and promote soil carbon	2
significant or irreversible environmental	2
is by far the	2
shall be based on	2
commodity exchange in the	2
guidelines for land policy	2
boost shared prosperity in	2
a target of percent	2
exclusively for the asap	2
area covered by pilot	2
in which they have	2
resettlement safeguards impacts or	2
facilitate access to improved	2
project lays emphasis on	2
grant beneficiaries fcbl total	2
components and a project	2
reference rate set by	2
is the case with	2
of factors such as	2
of his qualifications and	2
is to improve accessibility	2
poverty from percent in	2
assistance project for sustainable	2
implementing projects in ghana	2
central african republic executing	2
criteria contained in presidential	2
provide an enabling environment	2
the world bank transformation	2
counterfactual analyses show that	2
jobs created by the	2
of implementation to the	2
management practices in targeted	2
enabling environment for sustainable	2
share and capitalize on	2
or the gathering of	2
number of mitigating measures	2
use of accounting software	2
approved a us million	2
to mitigate these adverse	2
the revival of the	2
be paid from the	2
consultation reports allocation reports	2
by sources of funding	2
improvement of the rate	2
development of the crop	2
an enabling agribusiness environment	2
the provincial administration of	2
in to face the	2
driver of growth and	2
such as ministry of	2
its focus will be	2
the activity is to	2
overall screening procedure within	2
livestock breeding centre in	2
t ha for rice	2
activities to be promoted	2
be implemented concurrently with	2
apply the credit against	2
being undertaken by the	2
is considered as a	2
they will be working	2
form of a non	2
construction of an abattoir	2
important real sectors will	2
limited at the bank	2
for that reason the	2
and to be administered	2
are those associated with	2
resources for their livelihoods	2
the framework of its	2
economic and nutritional risks	2
of the proposed rlrcp	2
to date maps and	2
chain approach to promote	2
inform the design of	2
u t s a	2
per year to assess	2
positive environmental impacts and	2
private sector as the	2
significant impacts on environment	2
in the region shows	2
with a free base	2
consultation to ensure its	2
water resources are limited	2
and improve agricultural extension	2
related to environmental impact	2
commercial practices acceptable to	2
food security proposed development	2
since most farming activities	2
conformity with the principle	2
have been disbursed or	2
esmf will outline the	2
to the extent the	2
out mainly by women	2
stage of the proposed	2
by young people and	2
liberia tree crops extension	2
the th year of	2
bank external website on	2
ensured by means of	2
missions will be an	2
than mm of rainfall	2
project was classified in	2
to enhance the quality	2
electricity and mobile internet	2
communication and engagement with	2
individual programs consistent with	2
the ninth general increase	2
and achieving shared prosperity	2
climate change due to	2
to prevent or mitigate	2
developed during the project	2
is in alignment with	2
government has been actively	2
awarded on a competitive	2
and diversification of local	2
will maintain a full	2
the gains achieved with	2
commitment of the executing	2
contribute to overall increase	2
in was not implemented	2
certain stakeholders could delay	2
and the audit reports	2
trained in inrm and	2
in the capacity of	2
such adverse impacts on	2
is expected due to	2
create an environment conducive	2
project will finance goods	2
the safeguards capacity building	2
also finance and implement	2
describe in detail the	2
training sessions that will	2
nutrition security of vulnerable	2
implementation of this program	2
and the absorptive capacity	2
to increase their incomes	2
some of these investments	2
aims at laying the	2
a determining factor in	2
reach a common goal	2
to water for irrigation	2
identify opportunities to develop	2
in order to monitor	2
identify ideas and initiatives	2
maintain the productivity of	2
of three million three	2
by beneficiaries thus ensuring	2
purposes of publicity and	2
a validation workshop with	2
sustainable rural infrastructure and	2
secretaries from the mticm	2
the ordinary capital portion	2
rehabilitation works under the	2
and regional capacity for	2
implemented in areas where	2
in an integrated manner	2
ministry of agriculture or	2
of less than or	2
remains the provision of	2
af will scale up	2
project and the emp	2
project to be implemented	2
in seeking a programme	2
and also increase productivity	2
project is the result	2
to an expansion of	2
put forward an ambitious	2
the programme supports the	2
the centralized activities of	2
support investments and technical	2
and submit quarterly and	2
and thus combat poverty	2
of development opportunities for	2
veterinary and phytosanitary affairs	2
law on rural land	2
financially and technically viable	2
chain actors in modern	2
and enormous potential for	2
response to these constraints	2
its spread to the	2
segment of the population	2
minagri to coordinate project	2
expenditure financing by source	2
frgc series are to	2
rehabilitated three irrigation schemes	2
or similar formal organizations	2
be awarded any contracts	2
the project area on	2
term program executing agency	2
national and regional policies	2
facilities is fully and	2
and all consultancy services	2
implementation support will incorporate	2
strategic pillars that have	2
inform the stakeholders on	2
the production models presented	2
impacts are those affecting	2
prices for tradable goods	2
sale of farm inputs	2
the continued and strong	2
pastoral and fish value	2
analysis and planning process	2
is classified in gender	2
that might result from	2
of poverty is also	2
will also incorporate adequate	2
