entity	type	frequency
small farmers program	ORG	1
skills training and employment; scientific research and technological innovation	ORG	1
skills development priority area 2:	ORG	1
sivas-erzincan development project	ORG	1
situation assessment survey of agricultural households	ORG	1
siseine	PERSON	1
sironko river	LOC	1
sironko	PERSON	1
sinoe	GPE	1
single window information and knowledge centers	ORG	1
singapore	GPE	1
sine	GPE	1
sindh	ORG	1
silvicultura/dinas), fund for agriculture development	ORG	1
silicon-valley	LOC	1
sikta ip	PERSON	1
siha district	LOC	1
siguiri	PERSON	1
signing of loan agreement satisfaction	ORG	1
signature/ effectiveness of grant 1.0 component 1	ORG	1
signature of loan and grant agreement	ORG	1
signature of loan agreement appointing	ORG	1
signature of grants agreements publication of the gpn finalization of piu	ORG	1
sierra norte	PERSON	1
sierra leone’s medium term national development plan	ORG	1
sierra leone''s	ORG	1
sierra leone p160295 sierra leone	ORG	1
sierra leone ministry of trade and industry proposed development	ORG	1
sierra leone executing	ORG	1
sierra leone agribusiness and rice value chain support project	ORG	1
sierra leone 2014 labor force survey	ORG	1
sierra centro	PERSON	1
siemen  strengthening ag verify	ORG	1
sidi youkel	PERSON	1
sichuan province	GPE	1
siby district	LOC	1
sibusiso nhlengethwa	PERSON	1
shortage	PERSON	1
shkoder	GPE	1
shire river	LOC	1
shire river basin management program	ORG	1
shimla	GPE	1
shelter for life	ORG	1
sharlene jehanbux chichgar	PERSON	1
shangli	GPE	1
shangla	PERSON	1
shandong	GPE	1
shan states	GPE	1
seychelles	GPE	1
sexual harassments	ORG	1
sex ratio	ORG	1
severedonetsk	ORG	1
settlements and land records department/slrd	ORG	1
servicio nacional de sanidad agropecuaria e inocuidad alimentaria	ORG	1
service point	ORG	1
service commission	ORG	1
service charge and other charges	ORG	1
service charge	ORG	1
serge m. menang evouna	PERSON	1
serengeti	PERSON	1
sep.2017;[2	GPE	1
sensitization & identification	ORG	1
sensitise	PERSON	1
senqu river	LOC	1
senegal river	LOC	1
senegal strategic country diagnostic	ORG	1
senegal river valley	LOC	1
senegal ministère de l’elevage	PERSON	1
senegal groundnut competitiveness report	PERSON	1
senegal gender assessment	PERSON	1
senegal goal	PERSON	1
senegal executing agency	ORG	1
sendai framework	ORG	1
send	PERSON	1
semi-urban bamako regions	ORG	1
semi-urban bamako	ORG	1
seligson	PERSON	1
self-help groups	ORG	1
self help groups	ORG	1
seeds development project	ORG	1
seed trade association of south sudan	ORG	1
seed testing, inspection	ORG	1
seed research, development & multiplication ii	ORG	1
seed multiplication program	ORG	1
seed multiplication centers	ORG	1
seed fund	ORG	1
see ukraine state statistics agency	ORG	1
security x ps 5: land acquisition	ORG	1
sectors (finance, transport and social	ORG	1
sectorial strategy and operations	ORG	1
sector working groups on energy, transport, agriculture	ORG	1
sector wide approaches	PERSON	1
sector strategies and policies	ORG	1
sector program coordination and project management comments	ORG	1
sector office	ORG	1
sector coordination and management	ORG	1
sections 4.03{a	PERSON	1
section vi of the environmental and	ORG	1
section g.01(3)0	ORG	1
section b.7.9	ORG	1
section 9.04 of	ORG	1
section 7.04	ORG	1
section 7.03	ORG	1
secretaries’ committee, commissioners’	ORG	1
secretaries-general of the ministries	ORG	1
secretaries	PERSON	1
secondary school - total	ORG	1
second provincial agricultural development project - p106684	ORG	1
second growth and transformation plan	ORG	1
schengen	ORG	1
schemes	ORG	1
scheduled castes development department	ORG	1
scheduled castes (sc	ORG	1
schedule milestone quarter	PERSON	1
schedule d	PERSON	1
schedule caste	PERSON	1
schedule b 2.1	PERSON	1
schedule a of the malawi’s environmental impacts assessment guidelines	PERSON	1
scarce rainfall zone	GPE	1
savè	GPE	1
savelugu-nanton (nasia/nabogu	ORG	1
savannah-based agricultural value chains development support project	ORG	1
savannah zone agricultural productivity improvement project purpose	ORG	1
savannah zone agricultural productivity improvement project	ORG	1
savannah zone	PERSON	1
savannah initiative	PERSON	1
savannah	GPE	1
savanah	GPE	1
savalou	GPE	1
saudi arabia	GPE	1
satpura	ORG	1
sarh	PERSON	1
saouef	GPE	1
sao tome	ORG	1
santiago del estero	ORG	1
santa lucía	GPE	1
santa cruz.20	ORG	1
santa catarina	GPE	1
sanniquellie	GPE	1
sanguinetti	GPE	1
sangarédi	ORG	1
sandy bay	LOC	1
sandals resorts	ORG	1
san pedro	GPE	1
san lorenzo	GPE	1
san estanislao	GPE	1
samuel thangaraj	PERSON	1
samoa’s fisheries information management systems	ORG	1
samoan	ORG	1
samoa p165873 samoa agriculture & fisheries productivity and marketing project	ORG	1
samoa bureau of statistics	ORG	1
samoa agriculture and fisheries productivity and marketing project	ORG	1
samoa agriculture survey	ORG	1
samoa agriculture competitiveness enhancement project	ORG	1
samdrup jongkhar	PERSON	1
samanka	LOC	1
salvatierra	ORG	1
salum ramadhani pcr team	ORG	1
salum ramadhani	PERSON	1
saloum river	LOC	1
salmonella typhi	PERSON	1
salma omar	PERSON	1
salima	ORG	1
salawley-cheikh hared	ORG	1
salaries & indemnities	ORG	1
saint vincent & the grenadines	ORG	1
sahr	GPE	1
sahel niger	PERSON	1
sahel food security	ORG	1
sahel acacia	PERSON	1
sahara africa	GPE	1
saglepie-tappita	PERSON	1
sagaing states	GPE	1
safety of dams op/bp	ORG	1
safety and environmental	ORG	1
safety net and basic services project	ORG	1
safeguard specialist	PERSON	1
saday-waddi	PERSON	1
sabie	GPE	1
saba	GPE	1
saadnayel	GPE	1
syscompte	ORG	1
swiofish2	PERSON	1
swiofish bureau	ORG	1
swio coastal	ORG	1
swift	ORG	1
swc	ORG	1
svg - ministry of agriculture, forestry, fisheries	ORG	1
sustenta	ORG	1
sustainable development support	ORG	1
sustainable agriculture development	ORG	1
sustainable agricultural development and promotion of agricultural value chains agricultural	ORG	1
summary-n ewfin1 total project cost 100.00 total financing 100.00	ORG	1
summary-n ewfin1 total project cost	ORG	1
summary-n ewfin1 total project	ORG	1
suasa	ORG	1
strengthening gum	PERSON	1
strategos	ORG	1
step	ORG	1
std	ORG	1
stc	ORG	1
ssfsnp village	GPE	1
spip	ORG	1
spin	ORG	1
spd	ORG	1
spc	ORG	1
spbf	ORG	1
sp-prpf/dp	ORG	1
sp-prpf/dcf	ORG	1
south asia estimated appraisal date:	ORG	1
south asia estimated appraisal	ORG	1
south agro-industrial processing zone	ORG	1
sources	ORG	1
sopra amplitude	ORG	1
sop2	GPE	1
social risks	ORG	1
social	ORG	1
socaas	PERSON	1
snsc	ORG	1
snsa	ORG	1
snps	ORG	1
snp4	ORG	1
snnpp	PERSON	1
snim foundation	ORG	1
snfi	ORG	1
snfab	ORG	1
sn identified risks mitigation	ORG	1
smp & slesca mitigation: slesca & smp	ORG	1
smp & enable-njala	ORG	1
smn	ORG	1
smes/smis	ORG	1
smes development, ministry of environment and tourism	ORG	1
sme finance	ORG	1
sme development	ORG	1
smart steering committee (sc	ORG	1
smart punjab program	ORG	1
smallholder agriculture development for food and nutrition security	ORG	1
slwmp	ORG	1
slt	ORG	1
slmp ii	ORG	1
slm program	ORG	1
slfm	ORG	1
slecad	ORG	1
slc/iclt	ORG	1
slari/smp	ORG	1
slari/njala	ORG	1
slag	ORG	1
sl	ORG	1
sivap	ORG	1
sinergi	ORG	1
simp	ORG	1
simf	ORG	1
sima	ORG	1
sim	ORG	1
sil	ORG	1
siip	ORG	1
sigfe	ORG	1
sigen	ORG	1
sigcf	ORG	1
si pi ei crosscutting	ORG	1
si pi ei cross-cutting	ORG	1
si pi ei cross	ORG	1
sht	ORG	1
shs	ORG	1
shreekrishna nepal	ORG	1
sgr project )	ORG	1
sgp	ORG	1
sga	ORG	1
sg	ORG	1
sflm	ORG	1
sfa	ORG	1
sewes	ORG	1
sesia	ORG	1
senasem	ORG	1
senagua	ORG	1
seefor	ORG	1
seds	ORG	1
sedesol	ORG	1
secf	ORG	1
sead	ORG	1
sea/sh	ORG	1
sea	ORG	1
sds	ORG	1
sdr2,132,000	ORG	1
sdpi	ORG	1
sddr	ORG	1
sdc	ORG	1
sdae	ORG	1
scsp	ORG	1
scrpiii studies / survey proportion	ORG	1
scpzs	ORG	1
scpz support project	ORG	1
scpz program	ORG	1
scada	ORG	1
sc4.1 will fund	ORG	1
sc1.2	ORG	1
sc/st	ORG	1
sbp	ORG	1
sbcc	PERSON	1
sayds	ORG	1
saus mirror	PERSON	1
sarb	ORG	1
sapip	ORG	1
sapec	ORG	1
sap system  audit reports 	ORG	1
san	ORG	1
samaratunga	ORG	1
sagcot support institutions	ORG	1
sagcot catalytic trust fund	ORG	1
saed	ORG	1
sadp ii	ORG	1
sacvefor	ORG	1
sacep integrated pest management	ORG	1
s. ferris et	PERSON	1
réseau entreprendre network	ORG	1
république du niger	PERSON	1
réfugiés	PERSON	1
rweru	GPE	1
rwanda transport development agency	ORG	1
rwanda p161876 transformation of agriculture sector	ORG	1
rwanda implementing agency ministry of agriculture and animal resources	ORG	1
rwanda economic update, maintaining momentum	ORG	1
rwanda dairy development project	ORG	1
rwanda d. environmental	ORG	1
rwanda agriculture board	ORG	1
rwanda agricultural board	ORG	1
ruyigi	PERSON	1
ruwanmu	ORG	1
rutana	PERSON	1
rural financing establishment	ORG	1
rural and resilience global practice financing instrument borrower(s)	ORG	1
rural and agriculture development	ORG	1
rural women''s	ORG	1
rural villages requalification programme	ORG	1
rural transformation project	ORG	1
rural sector support project (rssp	ORG	1
rural road program	ORG	1
rural productivity and incomes	ORG	1
rural productive partnerships	ORG	1
rural productive inclusion project	ORG	1
rural producers training center (cfpr	ORG	1
rural producer organization	ORG	1
rural micro-enterprises	ORG	1
rural livelihoods and agriculture	ORG	1
rural livelihoods	ORG	1
rural land markets - rural	ORG	1
rural land	ORG	1
rural infrastructure development fund	ORG	1
rural financial services programme financing	ORG	1
rural finance support program	ORG	1
rural finance support	ORG	1
rural finance ii project	ORG	1
rural finance	ORG	1
rural equipment	ORG	1
rural entrepreneurship programme ‒ phase ii	ORG	1
rural entrepreneurship programme ‒	ORG	1
rural entrepreneurship programme	ORG	1
rural entrepreneurship organisation	ORG	1
rural entrepreneurship component c	ORG	1
rural entrepreneurship 2.1 identification	ORG	1
rural entrepreneurship - 1	ORG	1
rural enterprises and remittances project republic of nepal	ORG	1
rural enterprises institutional strengthening and capacity building of public sector entities project management	ORG	1
rural enterprises	ORG	1
rural enterprise programme iii	ORG	1
rural enterprise policy, private sector development and partnership strategy	ORG	1
rural enterprise	ORG	1
rural employment	ORG	1
rural economy thematic group	ORG	1
rural economy integrated development support project	ORG	1
rural economy	ORG	1
rural economic	ORG	1
rural development''s	ORG	1
rural development and equipment	ORG	1
rural development strategy	ORG	1
rural development project - additional financing	ORG	1
rural development financing	ORG	1
rural development bureau	ORG	1
rural development bank	ORG	1
rural connectivity improvement project - additional financing loan number	ORG	1
rural connectivity improvement project	ORG	1
rural community indigenous territories	ORG	1
rural change unit	ORG	1
rural change total	ORG	1
rural association of paraguay	ORG	1
rural areas strategy	ORG	1
rural areas executing	ORG	1
rural alliances project ii	ORG	1
rural agricultural development authority	ORG	1
rural advisory service	ORG	1
rupununi	GPE	1
ruo	PERSON	1
rufiji basin development authority	ORG	1
rufiji basin	LOC	1
rufiji	GPE	1
rs	PERSON	1
rotterdam convention	PERSON	1
rosso, nouadhibou	ORG	1
rokupr (kambia	ORG	1
rodolfo graham	PERSON	1
rockson	PERSON	1
robusta	LOC	1
robert h. montgomery	PERSON	1
road maintenance and safety project	ORG	1
riz 2012-2020	PERSON	1
rivière froide	PERSON	1
rivers	ORG	1
rivero et al.	GPE	1
river valley	LOC	1
river gee	ORG	1
river basin management plan	ORG	1
river basin management	ORG	1
river basin administration	ORG	1
rivadavia	GPE	1
risks and capacity development	ORG	1
risks mitigation	ORG	1
risks - political	ORG	1
risks - mobilization	ORG	1
risks - implementation delays mitigation	ORG	1
risks - deterioration	ORG	1
risks - delays	ORG	1
risk sharing facility	PERSON	1
risk scoring engine	ORG	1
risk management unit	ORG	1
risk low	PERSON	1
risk index	PERSON	1
risk guarantee fund	ORG	1
risk extreme	PERSON	1
risk assessment and procurement capacity	ORG	1
riparian association	ORG	1
rio grande	PERSON	1
rio conventions	ORG	1
rift valley fever	LOC	1
rice sub-sector	PERSON	1
rice self sufficiency	ORG	1
rice productivity improvement project	ORG	1
rice production	ORG	1
ribeiro et al.	PERSON	1
revolving fund	ORG	1
review of project	ORG	1
review bank/government/	ORG	1
review adf/government/	ORG	1
retail emerging markets	ORG	1
resurface	ORG	1
results � increase	PERSON	1
results report	PERSON	1
results region estimated appraisal date estimated board date practice area (lead)	ORG	1
results indicator] a. kpi	PERSON	1
results indicator]	PERSON	1
results indicator	PERSON	1
results area results area	PERSON	1
result matrix	PERSON	1
result areas 2	ORG	1
restored	PERSON	1
ressources animales - programme national de développement de l’elevage	ORG	1
response & economic recovery (p172796)	ORG	1
resources data bank	ORG	1
resource centre	ORG	1
resource	ORG	1
resilient productive landscapes project (rplp	ORG	1
resilient productive landscapes project	ORG	1
resilient natural resource management for tourism and growth (	ORG	1
resilient landscapes	ORG	1
resilient community development project loan number	ORG	1
resilient community development project	ORG	1
resilience and land investment project	ORG	1
resilience fund (cdr	ORG	1
resilience building programme	ORG	1
residuo limit	PERSON	1
resettlements action	ORG	1
reserved bank of malawi	ORG	1
research, development & seed multiplication	ORG	1
research, development	ORG	1
research institutes	ORG	1
republic of the union of myanmar	ORG	1
republic of turkey	GPE	1
republic of tunisia executing agency	ORG	1
republic of p176129 yemen food security response and resilience project region estimated appraisal date estimated board date practice area	ORG	1
republic of p159979 congo commercial agriculture project	GPE	1
republic of marshall islands	GPE	1
republic of mali executing agency	ORG	1
republic of madagascar project	GPE	1
republic of madagascar	GPE	1
republic of liberia tree crops extension project	GPE	1
republic of burundi value chain development programme	ORG	1
republic of benin	PERSON	1
report 103098-cm)4	PERSON	1
remittance	ORG	1
relief food programmes	ORG	1
relevamiento de expectativas de mercado	PERSON	1
rekha shreesh d. policies	ORG	1
rejection1	GPE	1
reijntjes et al.	PERSON	1
rehabilitation of ecp	ORG	1
regulatory reform	ORG	1
regular environmental assessment and pollution and nuisance control directorate	ORG	1
regulamento sobre processo de avaliação	PERSON	1
registrar general	ORG	1
regions 5,	ORG	1
regionally	PERSON	1
regional trade and transport facilitation project	ORG	1
regional technology delivery infrastructure	ORG	1
regional state bureaus of agriculture	ORG	1
regional state	GPE	1
regional rural development agents	ORG	1
regional planning, health and nutrition	ORG	1
regional pastoral livelihoods resilience project	ORG	1
regional knowledge exchange	ORG	1
regional directorate for environmental	ORG	1
regional development and business delivery office	ORG	1
regional centers of leadership under component	ORG	1
regional centers of excellence (rcoe	ORG	1
regional agricultural development programmes	ORG	1
regional agricultural development agency	ORG	1
regional administrations of water	ORG	1
region6	PERSON	1
region south asia country india	ORG	1
region sar country	ORG	1
region 9 and 10	LOC	1
region 5	LOC	1
region 10	LOC	1
ref	ORG	1
red meat value chain:	ORG	1
rectangular strategy iv	ORG	1
reconstruction trust fund	ORG	1
recomendation 59	PERSON	1
recital	GPE	1
recipients	ORG	1
recipient	ORG	1
recent bank	ORG	1
reasons for rejection alternative solution brief description reasons for rejection implement	ORG	1
reasons for rejection alternative solution brief description reasons for rejection 1	ORG	1
reasons for rejection alternative solution brief description reason for rejection construction	ORG	1
reasons for rejection alternative short description reason for rejection development	ORG	1
reasons for rejection alternative brief description reasons for rejection	ORG	1
reasons for rejection alternative brief description reason for rejection develop	ORG	1
reasons for rejection altenative name brief description reasons for rejection animal	ORG	1
reardon	PERSON	1
reallocation 4	ORG	1
rayagada	GPE	1
rawaba	PERSON	1
raviart	ORG	1
rattanakiri	GPE	1
ratnapura	PERSON	1
rationale for the bank’s	ORG	1
rationale for fund	ORG	1
rationale for bank intervention	ORG	1
rationale 1.1 project linkage with country strategy	ORG	1
rasuli	GPE	1
rashtriya krishi vikas yojana	PERSON	1
rashad	ORG	1
rapport des priorités resilience pays	ORG	1
rao	PERSON	1
rann	ORG	1
rani jamara	PERSON	1
rangpur lower	ORG	1
rangpur	GPE	1
rangeland	ORG	1
ramadan	PERSON	1
rakhine	PERSON	1
rajendra prasad adhikari	PERSON	1
rajasthan, mp	GPE	1
rajasthan	PERSON	1
rainfed	ORG	1
radoniqi-dukagjini	PERSON	1
rada	PERSON	1
rachayya	PERSON	1
rabi	GPE	1
rwh	ORG	1
rwf	PERSON	1
rus	ORG	1
rural productive development program ii	ORG	1
rural entrepreneurship	ORG	1
rural areas management	ORG	1
rubada	ORG	1
rtae	ORG	1
rt13	ORG	1
rssp 3	ORG	1
rscg	ORG	1
rsa	ORG	1
rrvcp	GPE	1
rrp	ORG	1
rrmsp	ORG	1
rra	ORG	1
rp’1	PERSON	1
rpse	ORG	1
rpp	ORG	1
rpo	ORG	1
rpg window of adf	ORG	1
rog) executing	ORG	1
ro	GPE	1
rnra water resources department	ORG	1
rnfe	ORG	1
rnd/cpr	ORG	1
rna	ORG	1
rmsc	ORG	1
rmi	ORG	1
rmg	ORG	1
rm	ORG	1
rlcc ii	ORG	1
rlacc ii ptt	ORG	1
rlacc ii	ORG	1
rjkip	ORG	1
risks	ORG	1
risap	ORG	1
rimrap	ORG	1
rimdir	ORG	1
rgph	ORG	1
rfsp	ORG	1
results chains performance indicators means of verification risks/	ORG	1
results chain performance indicators means of verification risks/ mitigation measures indicators baseline situation	ORG	1
results chain performance indicators means of verification risks/ mitigation measures indicators	ORG	1
resepag ii project	ORG	1
resepag ii af	ORG	1
resepag i.	PERSON	1
resan	ORG	1
rer	ORG	1
renlac	ORG	1
rel-1	ORG	1
regp	ORG	1
redi ii	ORG	1
recover - agriculture investments	ORG	1
recommendations management	ORG	1
recommendations	ORG	1
recommendation bank management	ORG	1
reco	ORG	1
reca	ORG	1
rdti	ORG	1
rdgs 2	ORG	1
rcom	ORG	1
rca	ORG	1
rb-cosop 9	ORG	1
rb-cosop 5	ORG	1
rasff	GPE	1
ramp	ORG	1
rada	ORG	1
raas indigenous territories	ORG	1
raan	ORG	1
r.h.s.	PERSON	1
r.2	GPE	1
québo programme	PERSON	1
quthing	GPE	1
quisumbing	GPE	1
quiroga	PERSON	1
quechua	GPE	1
quarterly progress reports	ORG	1
quarantine	PERSON	1
quantity	ORG	1
quality of mexico	ORG	1
qat	GPE	1
qaraoun committee	ORG	1
qaiser m. khan	PERSON	1
qais agah safeguard	ORG	1
qacha’s nek	PERSON	1
qabb elias	PERSON	1
qsafe	ORG	1
qrr	ORG	1
qncocpa/gb	ORG	1
qncocpa	ORG	1
qer	ORG	1
qds	ORG	1
q1 negotiations board	ORG	1
q&m	ORG	1
pérez-quesada	ORG	1
pèrèrè	ORG	1
purna	LOC	1
purdue	PERSON	1
purchasing power parity	ORG	1
puntland states	GPE	1
punjab province	GPE	1
punjab water resources management projects	ORG	1
punjab water policy 	ORG	1
punjab irrigation	GPE	1
punjab irrigated-agriculture	PERSON	1
punjab irrigated agriculture productivity program	ORG	1
punjab irrigated agriculture improvement	ORG	1
punjab groundwater act 	ORG	1
punjab agricultural marketing regulatory authority	ORG	1
pungoe	ORG	1
pumps, motors and auxiliaries	ORG	1
puerto suárez corridor	LOC	1
puerto falcón	GPE	1
puerto casado	GPE	1
public treasury	ORG	1
public productive agriculture investments	ORG	1
public procurement management units	ORG	1
public procurement control unit	ORG	1
public procurement commission	ORG	1
public private partnership commission	ORG	1
public investment program	ORG	1
public financial management	ORG	1
public finance management reform plan	ORG	1
public finance management	ORG	1
public expenditure and	LOC	1
public expenditure review	ORG	1
proximity	ORG	1
provision for contingencies and price escalation	ORG	1
provision for contingencies	ORG	1
provincial water and environmental protection guidelines	ORG	1
provincial rural development inspectors	ORG	1
provincial project management unit	ORG	1
provincial project coordination committee (ppcc	ORG	1
provincial institution strengthening	ORG	1
provincial inspectorates of agriculture	ORG	1
provincial industry and commerce offices	ORG	1
provincial implementation units	ORG	1
provincial governments / gadps	ORG	1
provincial government of gilgit-baltistan	ORG	1
provincial government	ORG	1
provincial directorate of agriculture and food security	ORG	1
provincial directorate of agriculture	ORG	1
provincial dpd offices	ORG	1
provincial dpd	ORG	1
provincial councils of northern	ORG	1
provincial councils and local government	ORG	1
provincial bureaux	PERSON	1
provide piu	PERSON	1
prov.	GPE	1
protocols	PERSON	1
prosperity & partnership	ORG	1
prospere backiny-yetna	ORG	1
prosopis	ORG	1
promotion of employment and professional integration	ORG	1
promotion of agricultural transformation and improvement of the living conditions	ORG	1
promotion of agricultural transformation and improvement of populations livelihood	ORG	1
promotion of agricultural	ORG	1
promotion and export development and promotion departments	ORG	1
promotion	ORG	1
promoting de-risking	PERSON	1
promoting woman’s employment in road sector	ORG	1
promoting sustainable agriculture practices	ORG	1
promoting de-risking	PERSON	1
promoting agricultural commercialization and enterprises	ORG	1
promoting	PERSON	1
prom	PERSON	1
projet de gestion des risques de catastrophes et de développement urbain	ORG	1
projeqt	PERSON	1
projects reports	ORG	1
projects progress	ORG	1
projects coordination unit	ORG	1
project on climate resilient agriculture	ORG	1
project for rural income through exports	ORG	1
project working	ORG	1
project townships	ORG	1
project technical team	ORG	1
project team co-leader	ORG	1
project specific assurances supporting project implementation 3	ORG	1
project reports ghana statistical service	ORG	1
project reports	ORG	1
project progress reports	ORG	1
project preparation fund	ORG	1
project name myanmar p164448 myanmar national food and agriculture systems project (p164448)	ORG	1
project name land bank financial intermediation loan	ORG	1
project name africa p173398 accelerating impacts	ORG	1
project monitoring and evaluation	ORG	1
project monitoring reports  mid	ORG	1
project management, monitoring & evaluation 2,904.47	ORG	1
project management, coordination, monitoring and evaluation comments	ORG	1
project management, coordination, monitoring and evaluation	ORG	1
project management and monitoring	ORG	1
project management and institutional capacity building	ORG	1
project management and coordination unit	ORG	1
project management and coordination 4.1	ORG	1
project management units	ORG	1
project management coordination	ORG	1
project management committee	ORG	1
project management comments	ORG	1
project management (	ORG	1
project m & e	ORG	1
project linkages with country strategy	ORG	1
project launching participatory	ORG	1
project information sheet client information borrower : republic of congo	ORG	1
project information sheet client information borrower :	ORG	1
project information sheet client information	ORG	1
project implementation units(piu)s	ORG	1
project implementation manual	ORG	1
project executive summary overview	ORG	1
project e & s	ORG	1
project development objective	ORG	1
project design	ORG	1
project coordination and monitoring and evaluation	ORG	1
project coordination and management unit	ORG	1
project coordination and management risk - weak	ORG	1
project coordination and management resources	ORG	1
project coordination and management component 1	ORG	1
project coordination and management comments	ORG	1
project coordination and management 171,546.37 204,541.75	ORG	1
project coordination department	ORG	1
project coordination committee	ORG	1
project coordination & management unit	ORG	1
project coordination	ORG	1
project consultation committee	ORG	1
project concept in	ORG	1
project board consideration	ORG	1
project area	ORG	1
project appraisal report volume ii technical annex	ORG	1
project appraisal report	ORG	1
project appraisal march 2019 board	ORG	1
project appraisal	ORG	1
project antenna	ORG	1
project agreement	ORG	1
project advisory committee	ORG	1
project administration	ORG	1
project accountant (pa	ORG	1
programme for the economic development of the dry region	ORG	1
programme for rural irrigation development	ORG	1
programme management and coordination	ORG	1
programme management department operations	ORG	1
programme management department	ORG	1
programme implementation unit	ORG	1
programme implementation implementation of first tranche	ORG	1
programme impacts	ORG	1
programme design	ORG	1
programme coordination and management	ORG	1
programa integrado de transferência de tecnologias agrárias	PERSON	1
programa fida mercosur claeh	PERSON	1
program implementing agency	ORG	1
program management/ monitoring & evaluation 1	ORG	1
program management unit	ORG	1
program institutional and implementation arrangements 34	ORG	1
program institutional and implementation arrangements	ORG	1
program implementing agency	ORG	1
program execution unit	ORG	1
program executing agency	ORG	1
program delivery unit	ORG	1
professionnelle	GPE	1
produire	PERSON	1
productores asociados”	PERSON	1
productivity improvement	ORG	1
productivity enhancement and diversification demonstrations	ORG	1
productive safety net program	ORG	1
productive alliances	ORG	1
production clusters	ORG	1
product haiti''s	PERSON	1
producer’s association	ORG	1
producers associations	ORG	1
producer organizatons	ORG	1
processing of agricultural products	ORG	1
processing center government	ORG	1
processing	ORG	1
process framework	ORG	1
pro-weai	PERSON	1
private sector development	ORG	1
private capital 450.00 decision	ORG	1
private capital	ORG	1
pritchard	ORG	1
priority river basins flood risk management project	ORG	1
priority poverty reduction program	ORG	1
priority iii	PERSON	1
priority area 4	LOC	1
priority area 2:	ORG	1
priority area 1	ORG	1
prior	ORG	1
principles for public credit guarantee schemes for msme	ORG	1
primary education	ORG	1
primary agriculture credit cooperative societies	ORG	1
pricewaterhousecoopers	ORG	1
price variation	ORG	1
price	ORG	1
previous bank	ORG	1
pretoria	GPE	1
prestação de serviços	PERSON	1
pressurised	ORG	1
presscane	ORG	1
presidential directive	ORG	1
presidential advisor - policy implementation	ORG	1
presidential advisor - economic	ORG	1
presidential advisor - constitutional affairs	ORG	1
prepare 5 project	ORG	1
predictive proxy indicators	ORG	1
preah vihear	PERSON	1
pradhan mantri krishi sinchai yojana	PERSON	1
practices ☑ number	ORG	1
practice area	LOC	1
poyang county	GPE	1
poyang lake-rim	PERSON	1
poyang lak basin	LOC	1
power africa	GPE	1
poverty level	PERSON	1
poverty assessment	ORG	1
potosi	ORG	1
potential risks and mitigation measures	ORG	1
potential positive impacts	ORG	1
postal savings bank	ORG	1
post-harvest management and value chain promotion	ORG	1
post-harvest management	ORG	1
post-harvest	ORG	1
possibly nyimur	ORG	1
possibility	PERSON	1
portfolio review	ORG	1
portfolio flashlight	PERSON	1
port sudan	ORG	1
poro	PERSON	1
population density	ORG	1
popul	PERSON	1
ponta	GPE	1
pomari-fernandes et al.	ORG	1
polonnaruwa (central province	GPE	1
policy, planning, statistics	ORG	1
policy on supervision and implementation support	ORG	1
policy for bank group	ORG	1
policy support services	ORG	1
policy note	ORG	1
policy not c. proposed development objective(s	ORG	1
policy letter	ORG	1
policy dialogue 5.3.1 pagpa	ORG	1
policy analysis unit	ORG	1
policy actions	ORG	1
policy	PERSON	1
polcy	ORG	1
pogradec	GPE	1
pledge	ORG	1
plateau divisions	PERSON	1
plantations and livestock company	ORG	1
plantations	PERSON	1
plantation, livestock company	ORG	1
plantation	ORG	1
plant protection and regulatory services directorate	ORG	1
plant protection act	ORG	1
planning and investment	ORG	1
planning and finance	ORG	1
planning and development department	ORG	1
planning and agriculture and rural development risk	ORG	1
planning and agriculture and rural development	ORG	1
planning framework (ipapf	ORG	1
planea	PERSON	1
plan national	ORG	1
plan nacional	ORG	1
plan	PERSON	1
pipa lake	LOC	1
pingguo county	GPE	1
pilot water supply project	ORG	1
pillars	LOC	1
pillar two	PERSON	1
"pillar ii ""economic empowerment"	ORG	1
pillar c	ORG	1
pillar a and c	ORG	1
pillar a	PERSON	1
pillar 8	ORG	1
pillar 2 of the national plan for economic and social development	ORG	1
pillar 2 of	ORG	1
pillar 2 (development	ORG	1
pillar 1, result 2	ORG	1
pillar 1 of the bank’s strategy for africa	ORG	1
pilar 1 3.325	ORG	1
pilar	LOC	1
phytosanitary measures	PERSON	1
physical planning and public utilities	ORG	1
physical culture resources	ORG	1
physical cultural resources op/bp	ORG	1
physical cultural resources management plan	ORG	1
physical cultural resources management framework	ORG	1
physical cultural resources chance find	ORG	1
physical cultural resources (op/ bp4.11	ORG	1
physical contingencies 25,809.0	ORG	1
physical	LOC	1
phosphorus	PERSON	1
phongsali	GPE	1
philippines facsimile numbers	ORG	1
phases ii	GPE	1
phase iii	PERSON	1
phase ii republic of gabon agricultural	GPE	1
phase	PERSON	1
pforr program	ORG	1
pforr activities responsible	ORG	1
petróleos paraguayos	ORG	1
pest and disease management	ORG	1
peshawar	GPE	1
peru executing	ORG	1
persons	PERSON	1
personal deposit	ORG	1
periodic	ORG	1
performance-based road contracts (oprc	ORG	1
performance and learning review	ORG	1
performance management system	ORG	1
people’s revolutionary democratic front	ORG	1
people’s bank amount of cofinancing	ORG	1
peoples x ps 8	ORG	1
peoples	ORG	1
people''s republic of china	GPE	1
pennar	ORG	1
pendjari	ORG	1
pench tiger reserve	ORG	1
pemagatshel	ORG	1
