bigram	frequency
reduce gender	3
kankan regions	3
services gabon	3
main producing	3
necessary financial	3
le fonctionnement	3
niladhari division	3
core activities	3
farmers adopt	3
desarrollo del	3
measure progress	3
full production	3
administrative office	3
strengthening cooperatives	3
four categories	3
iwrm integrated	3
financing co	3
payment authorization	3
mixed groups	3
products value	3
reach nearly	3
green coffee	3
cps recognizes	3
rows depending	3
within existing	3
rapports du	3
platforms designed	3
competitive method	3
services supported	3
including nutrient	3
various districts	3
evaluation strategy	3
innovative resource	3
six hundred	3
opportunities will	3
concerning nutrition	3
subsector production	3
components support	3
regulatory quality	3
promote resilience	3
activities eligible	3
scale new	3
support following	3
facilitation funds	3
total usd	3
numerous activities	3
pacd will	3
ending hunger	3
among development	3
much reduced	3
au cours	3
seed research	3
collection services	3
land potential	3
agribusiness skills	3
critical competencies	3
canbin huang	3
financing investments	3
fund transfer	3
activities mid	3
significantly improved	3
particularly true	3
de vue	3
earning percent	3
parcours cible	3
aif subloans	3
unallocated expenditure	3
entire ecosystem	3
bissau af	3
commercial transactions	3
mission undertaken	3
evaluations concluded	3
see box	3
district roads	3
general water	3
projects using	3
public bodies	3
concentrated around	3
poor small	3
improve women	3
totals including	3
challenges relating	3
nsgrp ii	3
information adf	3
mitigation hierarchy	3
coherent approach	3
beneficiary engagement	3
program proposes	3
low adoption	3
ou auront	3
safeguards category	3
sector companies	3
root level	3
project increased	3
largest country	3
internal project	3
public system	3
significant implications	3
month euribor	3
animal draught	3
assessment esmf	3
integrated environmental	3
entrepreneurship expert	3
committee established	3
mamadou kane	3
organic carbon	3
although procurement	3
third level	3
intensification will	3
better social	3
sustainable fishery	3
state building	3
developed country	3
drlsp ii	3
le padaer	3
scpz program	3
point de	3
primarily located	3
economic facilities	3
including fao	3
diligence documents	3
bank finances	3
transforming agriculture	3
specialist emeran	3
government based	3
river authority	3
important progress	3
swiofish sop	3
growing number	3
areas located	3
abandoned agricultural	3
reference shall	3
lead partner	3
dentro del	3
participating rmcs	3
zaghouan crda	3
poor connectivity	3
src table	3
intervening along	3
key commodities	3
administrative specialist	3
volta basin	3
machinery manufacturers	3
adf water	3
livestock company	3
associated local	3
largest economic	3
towards eu	3
tradable sectors	3
high production	3
operational modalities	3
make decisions	3
electrification project	3
degraded communal	3
sustainably grow	3
rural youths	3
develop solid	3
drainage facilities	3
effective execution	3
org map	3
control tools	3
main obstacles	3
seasonal variability	3
constitute percent	3
december signing	3
public access	3
access information	3
smallholder tree	3
ahai departments	3
ensure long	3
delivery mechanisms	3
institutional analysis	3
growth centres	3
market actors	3
cooperation initiatives	3
studies related	3
millions uc	3
animal feeding	3
bin cognos	3
area restored	3
different roles	3
thereby guaranteeing	3
acquis par	3
leading formal	3
org bid	3
agricultural board	3
site will	3
de reforma	3
development response	3
green gram	3
specific agriculture	3
administrative capital	3
also directly	3
high investment	3
therefore proposed	3
la richesse	3
use will	3
improper technology	3
purchase requests	3
markus kitzmuller	3
recently established	3
projet se	3
category projects	3
communication system	3
decisions regarding	3
public financing	3
major employer	3
health management	3
adult population	3
main development	3
moderate adverse	3
plant will	3
mediation efforts	3
branches outside	3
tab analysis	3
des savanes	3
local services	3
pradesh forest	3
principal agronomist	3
structures project	3
receive part	3
livestock markets	3
market analyses	3
high climate	3
le partage	3
eastern ghats	3
project profile	3
services due	3
sector despite	3
groups formed	3
executive secretariat	3
intrants agricoles	3
manage economic	3
core business	3
african customs	3
rural association	3
irrigation farming	3
party implementing	3
environmental matters	3
asap adaptation	3
field teams	3
innovative start	3
large public	3
may benefit	3
might support	3
vers le	3
small reservoirs	3
several positive	3
limited capacities	3
instrument proposed	3
sound construction	3
field visit	3
actions included	3
adb isdb	3
qp qp	3
business continuity	3
fewer female	3
drying facilities	3
reference frameworks	3
track records	3
patterns will	3
consolidated procurement	3
evaluation proposal	3
bank october	3
resolution mechanisms	3
young producers	3
commercial partners	3
strategic frameworks	3
franc de	3
new decree	3
el sistema	3
consolidation policy	3
kp irrigation	3
evaluation information	3
recession agriculture	3
modern supply	3
producers trained	3
le ops	3
regional importance	3
ont eu	3
forest investment	3
new profiles	3
delivery capacity	3
catalytic trust	3
successfully managed	3
process agricultural	3
project environment	3
para cada	3
mcrp implementation	3
former les	3
small fishers	3
officially launched	3
government technicians	3
years timeframe	3
caribbean region	3
pmu partners	3
development portfolio	3
market management	3
along gender	3
et industriels	3
development consultant	3
appropriate refocusing	3
water consumer	3
judicious use	3
documents environmental	3
program components	3
focus attention	3
flows million	3
existing land	3
building among	3
efficient performance	3
bilateral financing	3
armed violence	3
livestock varieties	3
agribusiness micro	3
framework may	3
drslp iii	3
subsidy programs	3
rural regional	3
maradi region	3
financed support	3
connect production	3
risk officers	3
providing institutional	3
average processing	3
work along	3
rapports financiers	3
management regimes	3
outline steps	3
people exposed	3
rural equipment	3
environment promotes	3
proposed support	3
kan province	3
social stability	3
limits access	3
costs financing	3
yet started	3
gap adoption	3
commercial forests	3
procurement aspects	3
maize varieties	3
program manager	3
national framework	3
good writing	3
safety laboratory	3
strengthened within	3
west regions	3
existing rmses	3
cereal output	3
gastos totales	3
cultural significance	3
starting point	3
relations among	3
lead role	3
subsistence sector	3
specific institutional	3
plat forms	3
international advertising	3
acuerdo con	3
agriculture jica	3
managing director	3
medina yoro	3
schedule hereto	3
radio stations	3
conservation activities	3
population due	3
caribbean countries	3
government fao	3
youth farmers	3
le terrain	3
impacts assessment	3
component coordinators	3
government completion	3
professional qualifications	3
otjozondjupa otjiwarongo	3
disseminating agricultural	3
smallholders commit	3
available financial	3
attract foreign	3
rehabilitation maintenance	3
target farmers	3
diversification program	3
project situations	3
processing machinery	3
companies will	3
adpp training	3
acteurs et	3
effective agricultural	3
therefore will	3
namely bafata	3
prohibited practices	3
individual identification	3
geographic area	3
rising sea	3
cuentas del	3
improve drainage	3
will transmit	3
haitian economy	3
strategy interventions	3
use pattern	3
existing silos	3
des statistiques	3
prek chik	3
irrigation sub	3
dakar strategic	3
sida grant	3
expected production	3
costs total	3
intensive agricultural	3
common challenge	3
infrastructure gaps	3
another percent	3
provide economic	3
promptly provided	3
humanitarian activities	3
de promouvoir	3
strengthening technical	3
scale dam	3
significant opportunities	3
project works	3
sites identified	3
fruit growers	3
officer cocd	3
maintain throughout	3
previous studies	3
inra services	3
intervention strategies	3
banking income	3
command centers	3
key risks	3
mutual agreement	3
partner agencies	3
indirect environmental	3
better position	3
comprising representatives	3
enhanced project	3
responds directly	3
dated june	3
stock routes	3
extensive production	3
key skills	3
health agencies	3
couverture des	3
urban growth	3
average gdp	3
rompre leur	3
large plantations	3
production level	3
population still	3
quality systems	3
inspection reports	3
increase beneficiary	3
warehousing receipt	3
modern practices	3
significant numbers	3
date planned	3
post conflict	3
important regional	3
provide opportunity	3
low rates	3
ecosystem resilience	3
land cover	3
severe crises	3
cabinet de	3
place economic	3
intensive mining	3
evaluation show	3
frank laporte	3
european market	3
driven research	3
risks linked	3
agricultural work	3
annual outcome	3
physical works	3
including regional	3
practical incompatibility	3
shortlist national	3
dominant food	3
operation date	3
ar wp	3
abdel ghany	3
constructed upgraded	3
infrastructure gap	3
achieve better	3
populations rurales	3
take stock	3
statistics sierra	3
rpdp requests	3
remedial actions	3
sobre puntos	3
urgent priority	3
expected output	3
create enabling	3
private inputs	3
easily spread	3
potential source	3
earning opportunities	3
chains actors	3
consumer preferences	3
better participation	3
chemical fertilizer	3
bank ifad	3
description amount	3
policy definition	3
safe use	3
en cuenta	3
timeframe appraisal	3
shall lead	3
uploads afdb	3
sector thematic	3
recurrent problems	3
five times	3
excessive rainfall	3
government finance	3
information tsf	3
district services	3
percent compared	3
animal identification	3
xiangkhouang province	3
development path	3
tasks will	3
core requirements	3
improvements will	3
fiscal policies	3
sustainable exploitation	3
pp sap	3
vary according	3
relative political	3
plant cover	3
poor agricultural	3
incorporates lessons	3
productive capacities	3
safeguard focal	3
tripartite agreements	3
development remains	3
supported will	3
highly concentrated	3
le avril	3
delays due	3
marine ecosystems	3
encourage competition	3
et chronique	3
arrangements establish	3
capacities within	3
nederlandse vrijwilligers	3
environment programme	3
generated positive	3
individual programs	3
organized system	3
components required	3
nigeriens nourish	3
fragile habitats	3
rapid responses	3
previously submitted	3
fondo de	3
regarding access	3
allocation sub	3
implementing safeguard	3
appropriate species	3
field studies	3
inclut le	3
third national	3
supporting agriculture	3
upward trend	3
local rice	3
bank ltd	3
recent growth	3
prosap operations	3
phimp name	3
term deposits	3
little value	3
approximately tonnes	3
cible prioritaire	3
regional programme	3
enabling services	3
active engagement	3
rural landscape	3
enhancing sustainable	3
providing opportunities	3
time due	3
management centre	3
requires good	3
marketing capacity	3
sample will	3
idiom es	3
northern cameroon	3
bps borrower	3
participatory assessments	3
loan mru	3
loans granted	3
reliable market	3
study report	3
resistant seed	3
pedagogical engineering	3
might affect	3
land improvement	3
meet demand	3
indicators relate	3
including crop	3
sector leaders	3
emission intensity	3
diverse countries	3
urban food	3
safeguard assessment	3
bi reports	3
important crop	3
swamp embankment	3
roads infrastructure	3
help restore	3
plan vivo	3
water wastages	3
also require	3
disease crisis	3
pap action	3
field operations	3
indian council	3
incubators supported	3
greater land	3
particular women	3
relevant production	3
social well	3
aip will	3
delivery system	3
change challenges	3
concerned will	3
governance including	3
complementary activities	3
weak land	3
mediante un	3
bank bolivia	3
national quality	3
supporting business	3
includes recommendations	3
control services	3
locally grown	3
technical functions	3
rpa ef	3
licensing procedures	3
investment strategy	3
premium price	3
additional ida	3
implementing departments	3
ejecutar el	3
selection based	3
perfectly consistent	3
de transport	3
analysis method	3
socially inclusive	3
average yearly	3
poorly equipped	3
completed new	3
reduced rainfall	3
standard framework	3
crop inputs	3
chains agribusiness	3
factors include	3
annual programmes	3
generally speaking	3
resources act	3
perennial rivers	3
one part	3
ida usd	3
roads upgraded	3
loan eu	3
sustainable financial	3
also acquired	3
local contexts	3
important measures	3
burundi executing	3
transport services	3
public revenue	3
march iii	3
beneficiary level	3
development training	3
including consulting	3
lead sec	3
supreme authority	3
thereby reducing	3
poor declined	3
negative consequences	3
tariff approved	3
producer partnership	3
reports male	3
northeastern provinces	3
benefits among	3
structural causes	3
soumis au	3
seven additional	3
better organized	3
mfnp will	3
program transactions	3
reliable fisheries	3
project procurements	3
achieving strong	3
development centers	3
deliver demand	3
en recherche	3
different challenges	3
sans le	3
including rural	3
following approval	3
considerably across	3
state minister	3
pmu govt	3
area targeted	3
make payments	3
organizations involved	3
increased output	3
promote domestic	3
usd african	3
national drainage	3
supporting reforms	3
mainly target	3
emergency project	3
resources spec	3
total amounts	3
agtf loan	3
kunene opuwo	3
reports based	3
services allocation	3
foster job	3
price risks	3
therefore important	3
identified need	3
throughout program	3
total gross	3
ppf project	3
environmental threats	3
supplementary irrigation	3
group strategy	3
cattle sub	3
oil boom	3
building element	3
pour recevoir	3
platforms created	3
sectoral program	3
subsequent phases	3
lessen targeted	3
tanks may	3
local national	3
lower secondary	3
fi cl	3
local research	3
asphalting project	3
produce climate	3
output per	3
put pressure	3
particularly difficult	3
missions made	3
tests established	3
administration will	3
twelve million	3
identified potential	3
bank infoshop	3
four dlis	3
completed water	3
security nexus	3
assessment framework	3
benefit particularly	3
paraguay will	3
animal byproducts	3
one way	3
generate decent	3
debt remains	3
will consult	3
ou des	3
lessons jointly	3
resilience along	3
yes due	3
domestic revenues	3
shall maintain	3
rwanda remains	3
also posed	3
energy production	3
replace paper	3
almost doubled	3
producer federations	3
likely environmental	3
damages caused	3
line items	3
policy gaps	3
strong fiscal	3
sustainable livestock	3
diseases control	3
ensure day	3
substantial increases	3
following safeguard	3
two overarching	3
enhanced rural	3
low yes	3
grants programme	3
new iron	3
infrastructure set	3
development hub	3
financial directorate	3
democratic transition	3
alternate marketing	3
th october	3
pagpa supports	3
integrated services	3
actors may	3
quality structures	3
les producteurs	3
thematic area	3
towards nutrition	3
direct financing	3
proposed sites	3
service points	3
objective criteria	3
proposed infrastructure	3
across six	3
low uptake	3
conventional water	3
technical evaluation	3
et mifa	3
currently managed	3
culture laboratory	3
prepas area	3
information flows	3
farmers given	3
activities focus	3
weather standard	3
loan cancellations	3
least km	3
transactions may	3
employment prospects	3
wiki omaheke	3
largely untapped	3
legal agreements	3
plant additional	3
project iprs	3
les centres	3
time market	3
finance infrastructure	3
advisory board	3
significant effect	3
organizational support	3
including planning	3
people development	3
much greater	3
territorial agricultural	3
concrete results	3
electric lines	3
autres projets	3
rice represents	3
esmf screening	3
bank shows	3
equipment leasing	3
bafata region	3
close attention	3
strengthened project	3
one loan	3
technical authority	3
grouping farmers	3
sustainable environment	3
longido livestock	3
livelihoods assistance	3
farmer outgrowers	3
reforms include	3
conducive regulatory	3
rising labor	3
value cash	3
fiscal side	3
total sum	3
de hasta	3
maize monocropping	3
climate scenarios	3
due total	3
certain works	3
improved physical	3
project zone	3
new provisions	3
include projects	3
parboiled rice	3
yielding crop	3
policy initiated	3
among vulnerable	3
promote rice	3
project footprint	3
provisions made	3
several policies	3
national school	3
tracks constructed	3
closed projects	3
including number	3
newly developed	3
priority tourism	3
las comunidades	3
india implementing	3
spending programs	3
region europe	3
market will	3
selected irrigation	3
representative international	3
missions risk	3
efforts must	3
tuna fishery	3
marine living	3
main irrigation	3
even beyond	3
twin problems	3
adequate safeguards	3
comptable est	3
major problems	3
implementation based	3
annual recurrent	3
reduction fund	3
common monetary	3
climate uncertainty	3
training campaigns	3
open defecation	3
projects located	3
thresholds established	3
targeted subsidies	3
da reinforcem	3
annual field	3
main direct	3
pour commentaire	3
verification protocol	3
current conditions	3
victoria environmental	3
equitable services	3
jiangxi poyang	3
management type	3
sorghum value	3
agriculture suffers	3
various constraints	3
disbursement modality	3
dcf analysis	3
increased soil	3
strategy documents	3
management mode	3
sector studies	3
additional quantity	3
hay bale	3
py total	3
consumer goods	3
roject im	3
unit located	3
instat surveys	3
officer governing	3
creation will	3
une mission	3
fr ic	3
increased financial	3
reducing technologies	3
reform act	3
growth increased	3
strategically important	3
industrial acceleration	3
fuel purchases	3
pcr mission	3
environmental pressures	3
secteur social	3
increase economic	3
community displacement	3
oferta de	3
smart livestock	3
monitor day	3
environmental audit	3
intermediate indicators	3
accelerate investments	3
agroforestry centre	3
additional water	3
bank phwb	3
programme ii	3
du bassin	3
coral islands	3
dehkan smallholders	3
internal resource	3
necessary adjustments	3
new models	3
priority resilience	3
reef fishes	3
domestic pressures	3
rsed amount	3
well positioned	3
fewer sanitary	3
provinces du	3
threshold established	3
informal channels	3
chains identified	3
agriculture trade	3
relevant experience	3
international pour	3
projet sont	3
ultimate goal	3
standing crops	3
water troughs	3
duly applied	3
tax pressure	3
economies depend	3
school year	3
national aid	3
census fact	3
long history	3
cps para	3
management master	3
based farming	3
meteorological observation	3
scenario include	3
women implementing	3
alimentaire ou	3
disaster prevention	3
similation de	3
enhance value	3
new pedagogical	3
acronyms awp	3
extreme drought	3
territoire du	3
implementation capacities	3
sobre la	3
industrial fabric	3
improved wells	3
promotes higher	3
production development	3
electricity access	3
ensure alignment	3
will ascertain	3
country economist	3
generating activity	3
land social	3
including preliminary	3
key growth	3
community procurement	3
end poverty	3
including provision	3
et op	3
employment outcomes	3
plan relating	3
de aprendizaje	3
public guarantee	3
independent consultants	3
reducing production	3
participatory local	3
somali regional	3
organizing producers	3
assists farmers	3
deputy chief	3
gcf grant	3
specific development	3
green belts	3
new indicators	3
services offered	3
el fortalecimiento	3
total labor	3
also contributed	3
billion compared	3
fell slightly	3
especially youth	3
related audit	3
considered relevant	3
adsp project	3
country investment	3
productivity increase	3
needs poverty	3
supervision schedule	3
tank command	3
wetlands management	3
surveys system	3
infrastructure sector	3
funds received	3
cost accounting	3
term response	3
sequence isallowed	3
component table	3
state plant	3
across project	3
necessary resources	3
average less	3
budget revenue	3
et diffusion	3
coffee producers	3
study surveys	3
component interventions	3
year four	3
use advance	3
angola investe	3
polished rice	3
target smallholder	3
behavioral change	3
contractual framework	3
affect nearly	3
cl osure	3
name est	3
management offices	3
strategy committee	3
expenditures claimed	3
description selection	3
energy omvg	3
poverty elimination	3
finance facility	3
report fao	3
strategic training	3
adaptive techniques	3
potential created	3
grower schemes	3
specific guidance	3
give rise	3
des personnes	3
areas without	3
operating resources	3
main projects	3
increased rate	3
nutrition committee	3
budget survey	3
development assistants	3
currently cultivated	3
public wheat	3
assure food	3
community investments	3
future changes	3
supply improvement	3
stakeholder organisation	3
certain benefits	3
domestic processors	3
existing training	3
poverty also	3
must move	3
market conditions	3
profitability profile	3
maintenance rehabilitation	3
resources based	3
design options	3
outward migration	3
analysis mission	3
deteriorating security	3
contracting implementing	3
seven counties	3
pakistan comments	3
normal operation	3
create employment	3
date environmental	3
audit committee	3
also applies	3
poverty lines	3
lao uali	3
disseminated within	3
five countries	3
average loss	3
ifad co	3
infrast ruct	3
driven economic	3
broader food	3
al mag	3
targets women	3
qualified finance	3
specific mitigation	3
consolidated result	3
development within	3
physical environment	3
increase diversification	3
focal department	3
agreement required	3
generate revenues	3
international centre	3
micro watersheds	3
good experience	3
pilot community	3
promote better	3
coastal livelihoods	3
oil output	3
policy context	3
fida para	3
stimulus package	3
low involvement	3
offshore fishery	3
wb safeguards	3
productivity associated	3
sensibilisation des	3
people receiving	3
del mag	3
analysis results	3
nature scope	3
two ongoing	3
program focused	3
best possible	3
beneficial impacts	3
surveyed program	3
seven percent	3
production chains	3
lac latin	3
supplementary accounting	3
storage tank	3
quality support	3
environment officer	3
underlying causes	3
bank haiti	3
csa climate	3
possible options	3
documents available	3
safeguards instrument	3
improve smallholders	3
nearly one	3
better natural	3
participating banks	3
potential benefits	3
alimentaire des	3
include energy	3
reduce costs	3
regular supply	3
currently unknown	3
created ministry	3
job descriptions	3
regarding financial	3
economic initiative	3
users online	3
different studies	3
committee shall	3
improved smallholders	3
key activity	3
funding provided	3
funds shall	3
rate estimated	3
indicators included	3
area served	3
public tender	3
control firm	3
green innovation	3
productivity towards	3
surveillance capacity	3
canal surinam	3
supervisory environment	3
subsectors selected	3
reflection will	3
milk prices	3
four intertwined	3
primary economic	3
population remains	3
revenue mobilisation	3
major related	3
finance manager	3
added processing	3
ipapf will	3
well beyond	3
projects page	3
known physical	3
income earned	3
previously implemented	3
kristyna bishop	3
unsatisfactory results	3
wiki outapi	3
industrial support	3
watercourse crossing	3
adapted rural	3
zone small	3
crops including	3
certainty regarding	3
odisha community	3
services available	3
ministries responsible	3
include audit	3
delivering water	3
using natural	3
appear positive	2
especifica en	2
ghana msme	2
around rural	2
diego arias	2
amount involved	2
criteria contained	2
potential human	2
natural breeding	2
hinder effective	2
put additional	2
marketing chain	2
political reforms	2
empowering men	2
dating back	2
scale used	2
unsuitable regulatory	2
initiative designed	2
jointly financed	2
prudential standards	2
specific cashew	2
forestry packages	2
nouvelles communes	2
sector overview	2
including policies	2
youth initiatives	2
waterways projects	2
resources directorate	2
overall analysis	2
financing non	2
government revised	2
soil characteristics	2
forest belts	2
non natural	2
production partnerships	2
los productores	2
sector concentrated	2
nutritional monitoring	2
diversification among	2
cada uno	2
northeast monsoon	2
transformation pole	2
function will	2
arid climate	2
congo whose	2
including cassava	2
moldova implementing	2
global partnership	2
reports annex	2
introducing innovative	2
assessment indicate	2
cabritos madre	2
remarkable social	2
region shows	2
extending much	2
limited foreign	2
receiving system	2
already incurred	2
country lending	2
fonction de	2
social progression	2
lack information	2
cuenta del	2
md implementing	2
agricultural wealth	2
disaster reduction	2
six month	2
projects supervised	2
menos propuestas	2
agriculture output	2
government concerns	2
program cirad	2
livestock output	2
finance law	2
disciplinary project	2
reducing soil	2
pole support	2
january th	2
multiple value	2
updated periodically	2
support adoption	2
abiassi title	2
water transport	2
overall ranking	2
integrating controls	2
approved number	2
wastewater services	2
cti cha	2
components costs	2
incrementan los	2
ensure monitoring	2
un nombre	2
intense heat	2
often subject	2
regional cohesion	2
moisture retention	2
capacity training	2
remained valid	2
mitigating risks	2
selected parts	2
existing natural	2
regulatory environments	2
dioxide equivalent	2
proposes support	2
additional periodic	2
surveys annually	2
involving civil	2
policies geared	2
base remains	2
following outcome	2
categorizes lesotho	2
fixing plants	2
safety rules	2
household diets	2
recent public	2
aux plus	2
local enterprises	2
adoption decisions	2
leone border	2
insurance number	2
individuals may	2
entrepreneurial activities	2
cooperatives strengthened	2
term responses	2
produits vivriers	2
improve citizen	2
smes created	2
support productive	2
staff evaluation	2
weak coordination	2
extreme pressure	2
several initiatives	2
maximum visibility	2
management society	2
soutien aux	2
accelerating urbanization	2
applicable base	2
academic inbreeding	2
ippf will	2
pct also	2
maturity date	2
livestock insurance	2
roads network	2
remain engaged	2
part nerships	2
program provides	2
addressing important	2
framework needs	2
turn help	2
share costs	2
allowances viii	2
rediscovered social	2
strongly aligned	2
toward higher	2
clause prior	2
diagnostic identifies	2
maritime domain	2
changes will	2
marsh mugger	2
des charges	2
tibirinzi market	2
assistance afdb	2
two focus	2
widespread within	2
financing community	2
land within	2
badf activity	2
return epa	2
promoting resilience	2
abbreviations secal	2
expenditures belonging	2
mission may	2
timely allocated	2
overall beneficiaries	2
agriculture yahoo	2
foreseen synergies	2
agribusiness portfolios	2
su importancia	2
additional safeguard	2
que las	2
product sales	2
pim project	2
waste haulage	2
build sustainable	2
continental investment	2
physical delivery	2
agriculture plans	2
andrew mude	2
mali electricity	2
corporate guidance	2
well maintained	2
also calls	2
integrates mechanisms	2
animale par	2
basin administration	2
protection dykes	2
quality thereof	2
dependable income	2
herramientas de	2
monthly submission	2
en petit	2
sectoral crisis	2
con una	2
poverty remain	2
support community	2
lo menos	2
level platforms	2
increasing per	2
communication will	2
plan fao	2
key top	2
whether related	2
total qty	2
marine zoning	2
causal link	2
pccs shall	2
involve construction	2
term target	2
autochtones de	2
efficiency along	2
quality fish	2
markets remains	2
real social	2
maintaining irrigation	2
neighbouring sierra	2
allied facilities	2
supplying biological	2
faostat database	2
ecological areas	2
preparation work	2
diary development	2
administrative activities	2
context guinea	2
fruit vegetable	2
procurement table	2
rdas will	2
improve data	2
social programs	2
forestry will	2
management improvement	2
afdb signing	2
lines within	2
million kenyans	2
several investigations	2
financing establishment	2
accounting forms	2
low per	2
ea emp	2
high tide	2
include potential	2
specific cost	2
program economic	2
improve expenditure	2
nutrition programme	2
billion represents	2
directly implement	2
successful first	2
vouchers exchanged	2
subsequent esmps	2
paps will	2
households may	2
standalone environmental	2
countries assessed	2
regularly affected	2
principal source	2
university complex	2
project bo	2
disease gdp	2
fydp ii	2
exhaust gases	2
ha now	2
current agriculture	2
international auditing	2
leverage support	2
help overcome	2
monitoring fiduciary	2
ar tercera	2
psg resources	2
promote sedentary	2
regulation qcbs	2
average rural	2
reducing women	2
collective marketing	2
niger executing	2
fully interfaced	2
lower transport	2
cet examen	2
schmitt title	2
warehousing receiving	2
resources personnel	2
alternatives brief	2
senegalese institute	2
housed within	2
partly explains	2
providers shall	2
cereal farming	2
business innovations	2
people belong	2
address technical	2
excluant toute	2
competent national	2
attracting foreign	2
influence adoption	2
held components	2
development platforms	2
imported fertilizer	2
laborers coming	2
largely droughts	2
approved management	2
pacte apvd	2
rplp builds	2
administrative division	2
highlight three	2
entrepreneurship fund	2
primary food	2
studies suggest	2
malnutrition will	2
olingabiwole ifad	2
receive revolving	2
household indicator	2
amelia ndlovu	2
program work	2
jeunes sont	2
increasing economic	2
program comply	2
development office	2
small quantities	2
major transformation	2
weak seed	2
accessing agricultural	2
eight million	2
experiences regular	2
month funding	2
el acceso	2
term small	2
farm works	2
laboratory upgrading	2
bank fao	2
shown continued	2
sector dept	2
regulator structure	2
activities inputs	2
agroforestry technology	2
fiduciary manual	2
tourism yet	2
indicators indicator	2
presentan las	2
abdoulaye toure	2
available study	2
sites reliefweb	2
soumis par	2
regional stabilization	2
affirmative action	2
publicly consulted	2
research agencies	2
implementation rehabilitation	2
enhancing water	2
indicated earlier	2
targeted capacity	2
punjab groundwater	2
favorables est	2
security indicator	2
grant tf	2
life prospects	2
masood ahmad	2
school meal	2
determining factor	2
considered vulnerable	2
procurements may	2
yield growth	2
extra efforts	2
holly welborn	2
even worse	2
affects progress	2
approach naturally	2
supervise implementation	2
que utiliza	2
stakeholder workshop	2
standards established	2
sectors may	2
mining areas	2
implementing participatory	2
mechanism implemented	2
frequency responsibi	2
include noise	2
chinese water	2
term challenges	2
productrices de	2
business specialist	2
production shortfalls	2
positive spillover	2
pagos del	2
final de	2
northwest smallholder	2
cover operating	2
improved genetic	2
observations impact	2
metered solar	2
inclusive service	2
solutions considered	2
los grupos	2
paper transition	2
implemented nationwide	2
business relations	2
previa consulta	2
friendly system	2
practices based	2
funds made	2
well structured	2
favourable opinion	2
executed trust	2
des besoins	2
year congo	2
increased minimum	2
improve outcomes	2
cooperatives including	2
catalytic support	2
new subcomponent	2
precis covers	2
credit office	2
social gains	2
budget accounting	2
risks stemming	2
socioeconomic transformation	2
international assessments	2
unsustainable land	2
domestic duties	2
reforestation generate	2
trade slowdown	2
inputs providers	2
transparent manner	2
undertake actions	2
infrastructure damages	2
forestry based	2
five new	2
good presence	2
mining cities	2
employment potential	2
certain project	2
unforeseen environmental	2
dpbd will	2
will progressively	2
risk pricing	2
crash barriers	2
factor limiting	2
recovery model	2
rate component	2
gap assessment	2
expected income	2
single large	2
ii gsgda	2
de ellos	2
taxes unallocated	2
promoting technology	2
well acknowledged	2
pefa methodology	2
receipt system	2
organization project	2
insecure settings	2
experienced national	2
actors trained	2
impact data	2
project transition	2
faced several	2
expected contribution	2
build human	2
afdb projects	2
user fees	2
integrated administration	2
restoration efforts	2
comprises ua	2
experienced operator	2
agripreneurs will	2
providing social	2
markets infrastructure	2
great importance	2
data processing	2
phytosanitary framework	2
stronger links	2
general environment	2
regional operating	2
car central	2
quickly fall	2
will alter	2
ongoing smallholder	2
insecurity problems	2
griculture su	2
making powers	2
including arrears	2
sustainably increased	2
quality livestock	2
farm training	2
incrementos en	2
become flooded	2
de manejo	2
challenging environment	2
ce titre	2
component reforms	2
oil extractors	2
addressing issues	2
module will	2
small schemes	2
interviews will	2
grant adb	2
hygiene will	2
reservoir complex	2
este sistema	2
bearing age	2
guyana marketing	2
lga funding	2
executed effectively	2
per standard	2
will retain	2
research infrastructure	2
activity likely	2
past interventions	2
mawf fao	2
livelihood impacts	2
togo requires	2
special tel	2
size dairy	2
involve rehabilitation	2
periods will	2
office rental	2
broader markets	2
bee keeping	2
measures prescribed	2
cerc including	2
repayment amounts	2
project thrust	2
rising demand	2
el establecimiento	2
namibia appendix	2
les opa	2
quantitative evaluations	2
chain indicator	2
technical consulting	2
crop transportation	2
including low	2
technical measures	2
politiques nationales	2
standard audit	2
sanitation serv	2
supporting msmes	2
governance remain	2
will supplement	2
land along	2
casanova anoll	2
promote diversified	2
stimulate migrants	2
new dlis	2
training farmer	2
productivity gain	2
gambia sdf	2
km section	2
regularly reported	2
fields using	2
financing operation	2
single registry	2
draft awp	2
socioenvironmental management	2
traders using	2
activities quarter	2
assisted project	2
supervision porteront	2
insecure environment	2
year economic	2
project consultation	2
rapid rate	2
steering structure	2
presents ample	2
preparation based	2
sistemas de	2
blocks across	2
mainly concentrated	2
military spending	2
former beneficiaries	2
nested within	2
les rendements	2
counterpart lga	2
la prospective	2
thirty years	2
programa basada	2
harvesting facilities	2
produced foods	2
accountant shall	2
sustained dialogue	2
stringent environmental	2
wide water	2
ida funded	2
external reserves	2
achieve synergies	2
contracts executed	2
provincial strategies	2
km candidate	2
soe oversight	2
individual service	2
land issue	2
monitoring works	2
generated respectively	2
built rehabilitated	2
also envisaged	2
twenty thousand	2
petites et	2
equivalents october	2
rural solomon	2
ajutor social	2
multiple risks	2
key contributor	2
les chaines	2
food development	2
revised poverty	2
support competitiveness	2
feasibility documents	2
wrs regulations	2
palm production	2
meaden staff	2
southern emergency	2
constitution adopted	2
